Country,PopDenisty_per_mile,Coast_Line_Ratio,Birthrate,Percent_incountry_Travel_Growth,Percent_self_emplyed,suicide_per_100k,antidepressant_per_1k,Per_of_FemalePop,Household_size,Household_Nuclear,suicide_per_100k_Ranked,Birthrate_Ranked,Percent_incountry_Travel_Growth_Ranked,Percent_self_emplyed_Ranked,PopDenisty_per_mile_Ranked,Coast_Line_Ratio_Ranked,antidepressant_per_1k_Ranked,Per_of_FemalePop_Ranked,Household_size_Ranked,Household_Nuclear_Ranked,Overall_Rank
Costa Rica,79.8,2.52,18.32,4.36486,21.7,5.546782477,0,49.98616933,4.228,65.268,51,116,76,124,116,84.5,0,123,79,17,78.65
Saudi Arabia,13.8,0.13,29.34,3.36753,4.89,6.252703597,0,42.92976325,0,0,63,60,112,174,29.5,165.5,0,187,0,0,79.1
Uzbekistan,61,0,26.36,6.10745,27.4,8.523171913,0,50.15083213,5.24,62.44,100,72,29,112,93,205.5,0,111,31.5,38,79.2
Cyprus,84.8,7.01,12.56,6.40349,14.1,0.9287632,0,49.94014646,2.8825,72.68,3,169.5,24,150.5,121,67,0,131,122,6,79.4
Comoros,318.4,15.67,36.93,2.47505,68.9,4.626597901,0,49.56045563,5.84,44.345,40,33,151,35,196,51,0,154,16,128,80.4
Ghana,93.6,0.23,30.52,4.75352,72.9,6.020095112,0,50.17032025,4.172222222,41.73777778,58,54,65,29.5,128,148,0,108,82,132,80.45
Vietnam,256.1,1.05,16.86,6.04209,58.5,12.10719148,0,50.51491769,4.355,65.918,140,131,31,49,183,105,0,80,72,14,80.5
Aruba,372.5,35.49,11.03,3.00784,0,0,0,52.5176712,2.89,45.12,0,183,129,0,202.5,32,0,12,121,126,80.55
Bermuda,1241,194.34,11.4,2.63842,0,0,0,0,2.373333333,51.94666667,0,179,144,0,220,6,0,0,152,110,81.1
El Salvador,324.3,1.46,26.61,3.91946,39.8,8.356749973,0,53.03879384,4.345,52.81,98,70,82,81,197,97,0,9,74,107,81.5
Fiji,49.6,6.18,22.55,2.57809,39.7,3.979134987,0,49.23605827,5.461666667,45.768,29,88,147,83,81.5,69,0,170,25,124,81.65
Mongolia,1.8,0,21.59,3.18968,48.4,13.49699388,0,50.53249028,4.39,63.6,151,98,118,63,3,205.5,0,79,70,29,81.65
Slovak Republic,111.4,0,10.65,3.43587,15.4,0,0,51.38577721,0,0,0,190,109,142,141,205.5,0,31,0,0,81.85
Jordan,64,0.03,21.25,7.11583,15.7,8.272032483,0,49.36068627,5.312857143,79.43,97,99,10,141,97,181.5,0,165,29,2,82.15
Ireland,57.8,2.06,14.45,4.93652,16.3,6.168293446,0,50.40446047,3.162666667,63.0225,60,153,59,139,89,89,0,89,111,34,82.3
Indonesia,127.9,2.85,20.34,5.11395,50.9,11.66530433,0,49.65805436,4.335625,64.480625,133,107,50,59,149,80,0,148,75,23,82.4
Sao Tome and Principe,193.2,20.88,40.25,4.86958,35.8,10.02557351,0,50.20187437,3.84,48.42,115,23,61,92,174,45,0,104,95,119,82.8
