Country,PopDenisty_per_mile,Coast_Line_Ratio,Birthrate,PopDenisty_per_mile_Ranked,Coast_Line_Ratio_Ranked,Birthrate_Ranked,Percent_incountry_Travel_Growth,Percent_incountry_Travel_Growth_Ranked,Percent_self_emplyed,Percent_self_emplyed_Ranked,suicide_per_100k,suicide_per_100k_Ranked,No_of_Arrivals,No_of_Arrivals_Ranked,Per_of_FemalePop,Per_of_FemalePop_Ranked,Household_size,Household_Nuclear,Household_size_Ranked,Household_Nuclear_Ranked,Weighted_Rank,Overall_Rank
Sierra Leone,83.7,0.56,45.76,120,122,5,3.87914,84,89.9,4,12.53389157,145,57000,134,50.47717308,83,5.923333333,33.66666667,15,143,99,31
Haiti,299.4,6.38,36.44,190,68,34,3.73985,94,88.5,11,1.455346673,6,447000,116,50.55181462,76,4.617142857,40.84142857,59,133,73,106.5
Slovenia,99.2,0.23,8.98,132,148,214,2.48318,150,14.3,149,25.35698143,185,4425000,58,50.34442672,93,2.648,60.71666667,130,47,121,3.5
Honduras,65.4,0.73,28.24,98,114,63,4.96693,55,48.1,64,7.752264653,86,0,0,50.13976687,112,5.092,54.396,37,95,62,139.5
Spain,80,0.98,10.06,117,106.5,197,2.99338,131,16.6,138,5.302825036,48,82773000,2,50.96518516,46,2.831428571,66.9875,126,11,69,117.5
Hungary,107.3,0,9.72,138,205.5,203,2.81936,136,11,163,29.8453998,191,17552000,20,52.43024832,13,2.64,59.266,132.5,58,116,9.5
Suriname,2.7,0.24,18.02,7.5,145,121.5,10.1975,5,15.2,144,19.8852472,178,0,0,49.81602671,141,3.94,0,91,0,78,88
India,333.2,0.21,22.01,199,153,93,8.43542,7,78.9,20,18.75830738,174,17423000,21,48.18032713,183,4.970909091,54.057,40,99,86,64.5
Switzerland,182.2,0,9.71,168,205.5,204,3.41103,110,15.1,145,18.23295327,170,10362000,38,50.45430065,87,2.44,59.43,148,56,117,7.5
Indonesia,127.9,2.85,20.34,149,80,107,5.11395,50,50.9,59,11.66530433,133,15810000,24,49.65805436,148,4.335625,64.480625,75,23,73,106.5
Tanzania,39.6,0.15,37.71,70,161,30,18.7417,2,86.2,13,9.4712883,110,1378000,96,50.5462204,77,4.954166667,46.68333333,41,123,77,89.5
Iraq,61.3,0.01,31.98,95,183,50,1.51649,169,39.4,84.5,14.14675212,155,0,0,49.37694479,163,7.7,58.57,5,65,89,55.5
Togo,97.7,0.1,37.01,130.5,170,32,5.36599,41,81.2,16,6.441331219,66,573000,112,50.15121133,110,5.358,30.676,27,146,82,76.5
Ireland,57.8,2.06,14.45,89,89,153,4.93652,59,16.3,139,6.168293446,60,10926000,35,50.40446047,89,3.162666667,63.0225,111,34,72,109
Turkey,90.2,0.92,16.62,124,109,134,2.04149,160,31.6,102,4.61430446,39,45768000,6,50.74973723,63,4.41,64.37166667,68,24,63,136.5
Israel,305.8,1.31,17.97,192,100,123,4.93728,58,15.8,140,6.691274,68,4121000,61,50.33014776,94,3.41,73.474,106,5,80,81
Ukraine,77.4,0.46,8.82,112.5,126,215,4.95092,57,17.4,131.5,21.59801565,180,14104000,28,53.76707292,5,2.565,53.27,136,102,104,26
Italy,193,2.52,8.72,173,84.5,220,1.35622,171,23.6,121,5.72273693,54,61567200,5,51.26484952,34,2.496666667,66.305,143,13,76,94.5
Uruguay,19.5,0.37,13.91,44,133,158,4.71814,66,27.8,110,11.43545071,130,3469000,66,51.69195396,24,3.174285714,58.27857143,110,69,90,52.5
Jamaica,250.9,9.3,20.82,181,60,101,4.81849,62,40.8,77.5,2.979122315,17,2473000,78,50.24224188,100,3.6525,38.8425,99,138,79,85
Vietnam,256.1,1.05,16.86,183,105,131,6.04209,31,58.5,49,12.10719148,140,15498000,25,50.51491769,80,4.355,65.918,72,14,71,112.5
Japan,337.4,7.87,9.37,200,64,208,1.95694,162,10.6,164,18.29761357,171,31192000,11,51.16559274,37,2.4925,57.105,144,77,113,13
Jordan,64,0.03,21.25,97,181.5,99,7.11583,10,15.7,141,8.272032483,97,4150000,60,49.36068627,165,5.312857143,79.43,29,2,76,94.5
Luxembourg,183.5,0,11.94,169,205.5,176,5.55042,37,9.88,167,12.73039208,147,1018000,106,49.74325487,145,2.4625,57.95,146,74,125,1
Qatar,77.4,4.92,15.56,112.5,72,142,6.90786,12,0.403,179,2.762525563,16,1819300,87,24.92671111,192,0,0,0,0,64,134
Sweden,20,0.72,10.27,45,115,194,2.51755,149,9.91,166,15.42142491,163,7440000,45,49.95590118,128,0,0,0,0,94,41.5
Bosnia and Herzegovina,88,0.04,8.77,122,179.5,217,5.177,47,25.4,119,11.05099484,126,1053000,104,50.90671126,50,0,0,0,0,86,64.5
Kuwait,135.7,2.8,21.94,155,81,95,6.50893,21,2.53,178,0.994203969,4,8508000,43,42.57858952,188,0,0,0,0,55,154
United Arab Emirates,31.4,1.59,18.96,61,96,110,3.20622,117,3.19,176,2.004039769,10,21286000,16,27.59638942,191,0,0,0,0,57,149
Kyrgyz Republic,26.3,0,22.8,52,205.5,86,4.39962,75,39.8,81,14.12801374,154,423000,117,50.41428499,88,4.506,55.99,61,85,106,22.5
Saudi Arabia,13.8,0.13,29.34,29.5,165.5,60,3.36753,112,4.89,174,6.252703597,63,15334000,26,42.92976325,187,0,0,0,0,70,115
Lebanon,372.5,2.16,18.52,202.5,87,115,6.14979,28,36.4,89.5,5.97873434,57,1964000,85,49.83833567,137,0,0,0,0,65,129
Sri Lanka,308.2,2.04,15.51,193,90.5,145,4.40229,74,42.7,75,20.23903786,179,2334000,80,51.9384991,20,0,0,0,0,86,64.5
Denmark,126.5,16.97,11.13,148,50,181,2.14391,158,9.01,170,19.01175329,175,12749000,29,50.26241155,96,0,0,0,0,95,38.5
Tonga,153.3,56.02,25.37,162,23,73,11.2626,3,56.4,52,4.546554721,37,54000,135,49.83428688,138,0,0,0,0,58,146.5
Liberia,27.3,0.52,44.77,55,123,10,0,0,80.2,18,8.135991733,93,0,0,49.54762434,155,5.036,39.254,39,137,57,149
Brunei Darussalam,65.8,2.79,18.79,100,82,112.5,5.17937,46,7.24,173,1.396965703,5,278000,123,48.53396034,178,0,0,0,0,71,112.5
Libya,3.4,0.1,26.49,12,170,71,21.3642,1,40.8,77.5,4.472429075,35,0,0,49.59028172,151,0,0,0,0,34,168.5
Samoa,60.1,13.69,16.43,92,53,136,0,0,36.4,89.5,5.498493393,50,164000,128,48.40332113,181,6.75,0,6,0,65,129
Afghanistan,48,0,46.6,78,205.5,4,0,0,67.3,36,6.745274867,70,0,0,48.46650935,180,8.04,52.77,3,108,54,156
Seychelles,179.2,107.91,16.03,167,11,138,2.97741,133,0,0,9.73080193,111,362000,119,50.72148625,66,3.78,0,96,0,82,76.5
Bahrain,1050.5,24.21,17.8,218,40,125,2.98562,132,3.12,177,3.212076983,19,12045000,31,37.27092502,189,0,0,0,0,69,117.5
Solomon Islands,19.4,18.67,30.01,43,48,55,1.20322,173,63.8,40,4.55074777,38,27900,138,49.16201026,172,0,0,0,0,71,112.5
Moldova,132,0,15.7,153,205.5,141,2.00675,161,29.6,108,17.02489913,167,160000,129,52.01896122,17,0,0,0,0,109,19
Iceland,2.9,4.83,13.64,9,73,162,7.65934,9,11.7,160,11.45728723,131,2343800,79,49.82538564,139,0,0,0,0,76,94.5
Barbados,649.5,22.51,12.71,214,43,168,1.63693,166,16.8,135.5,3.404418683,22,680000,111,52.12288997,16,0,0,0,0,76,94.5
"Iran, Islamic Rep.",41.7,0.15,17,74,161,129,6.81137,14,45.2,68,6.926356371,71,7295000,46,49.71071593,146,3.9525,84.96,90,1,62,139.5
Tunisia,62.2,0.7,15.52,96,117.5,144,3.69376,95,27.3,113,3.600386739,25,8299000,44,50.59784293,73,0,0,0,0,54,156
"Gambia, The",145.3,0.71,39.37,158,116,27,3.44547,107,72.9,29.5,6.357598174,64,552000,113,50.50207777,82,8.23,28.3,2,148,85,68.5
United States,31,0.21,14.14,59,153,155,3.05635,126,9.66,168,11.02192463,125,79745920,3,50.50442726,81,2.721111111,62.407,127,39,92,46.5
Belize,12.5,1.68,28.84,28,95,62,3.79665,91,31.6,102,7.308054569,78,489000,115,50.21191077,101,0,0,0,0,72,109
Vanuatu,17.1,20.72,22.72,40,46,87,2.80463,137,74.7,27,5.025895869,45,116000,133,49.40017231,162,0,0,0,0,66,124
Algeria,13.8,0.04,17.14,29.5,179.5,128,2.59324,146,30.9,105,4.48406011,36,2657000,73,49.49824227,159,0,0,0,0,69,117.5
Bhutan,48.5,0,33.65,79,205.5,46,0,0,71.4,33,16.16087836,165,274000,124,46.92618866,184,0,0,0,0,86,64.5
Mauritania,3.1,0.07,40.99,10,177,19,0,0,47.7,66,7.180394809,74,0,0,49.60019764,150,0,0,0,0,39,167
"Congo, Dem. Rep.",26.7,0,43.69,53,205.5,11,3.63426,100,57.2,51,0,0,0,0,0,0,4.886,48.126,47.5,120,47,163.5
Slovak Republic,111.4,0,10.65,141,205.5,190,3.43587,109,15.4,142,0,0,2256000,82,51.38577721,31,0,0,0,0,67,121
Antigua and Barbuda,156,34.54,16.93,164,34,130,6.66922,18,0,0,1.5999478,7,269000,125,51.99929419,19,0,0,0,0,41,166
Aruba,372.5,35.49,11.03,202.5,32,183,3.00784,129,0,0,0,0,1082000,102,52.5176712,12,2.89,45.12,121,126,75,100.5
"Bahamas, The",21.8,25.41,17.57,48,39,127,3.65348,98,18.8,129,3.296670916,20,1633000,93,51.03551718,44,3.4,44.86,107,127,81,79
Cape Verde,104.4,23.93,24.87,136,41,75,0,0,39.8,81,5.065421789,46,0,0,50.1698433,109,0,0,0,0,34,168.5
